PurchaseID,CustomerID,ProductID,PurchaseDate,PurchaseStatus,PurchaseAmount
1,836,36,10-06-2023,Pending,896.55
2,561,9,01-03-2024,Paid,551
3,191,50,17-07-2022,Failed,832.22
4,151,3,23-07-2023,Paid,370.64
5,536,7,12-06-2021,Pending,884.88
6,431,32,15-08-2022,Failed,824.92
7,245,34,22-03-2023,Failed,823.09
8,127,12,23-02-2023,Shipped,696.09
9,375,30,14-05-2021,Refunded,802.28
10,57,10,07-03-2024,Failed,95.67
11,930,17,04-07-2023,Pending,939.25
12,932,15,21-10-2022,Paid,585.11
13,677,34,03-10-2019,Paid,260.5
14,896,24,27-01-2023,Paid,925.46
15,949,42,20-01-2022,Shipped,124.81
16,615,38,12-08-2021,Paid,710.78
17,731,34,03-10-2022,Refunded,131.49
18,779,42,15-03-2023,Shipped,983.77
19,419,32,07-05-2020,Paid,924.53
20,751,33,09-02-2021,Paid,286.57
21,671,3,08-09-2019,Paid,762.41
22,481,46,16-07-2023,Shipped,592.44
23,697,49,11-11-2019,Refunded,783.54
24,543,22,25-11-2023,Paid,545.33
25,629,39,30-08-2021,Paid,683.1
26,594,33,28-11-2021,Pending,648.71
27,760,24,01-09-2020,Failed,93.59
28,155,43,16-05-2023,Pending,736.38
29,192,37,09-02-2022,Failed,787.54
30,573,24,15-08-2022,Failed,798.07
31,984,3,20-12-2020,Shipped,112.87
32,447,49,09-09-2019,Refunded,55.07
33,130,31,12-09-2019,Failed,980.87
34,948,34,23-03-2023,Failed,489.28
35,23,48,12-12-2020,Refunded,28.33
36,174,50,18-04-2024,Pending,387.99
37,557,31,04-11-2023,Pending,736.8
38,25,50,18-01-2024,Refunded,908.06
39,13,50,14-08-2023,Shipped,88.22
40,509,16,17-04-2023,Refunded,691.09
41,974,35,21-02-2023,Refunded,895.78
42,276,25,04-12-2023,Refunded,70.34
43,391,12,28-10-2021,Failed,137.57
44,254,3,03-03-2022,Shipped,684.08
45,280,25,21-08-2023,Pending,112.03
46,325,30,16-09-2021,Failed,909.07
47,261,48,13-01-2022,Refunded,251.95
48,607,21,04-09-2019,Pending,740.32
49,433,21,29-10-2020,Failed,789.31
50,513,25,22-05-2021,Pending,954.92
51,816,7,12-05-2022,Pending,369.33
52,618,37,10-05-2024,Paid,422.82
53,572,1,15-09-2019,Pending,997.09
54,790,33,28-09-2022,Pending,571.57
55,576,41,05-02-2022,Failed,643.07
56,697,50,27-08-2020,Pending,830.86
57,739,32,24-10-2019,Paid,443.69
58,703,40,28-05-2022,Pending,445.85
59,566,5,15-01-2021,Shipped,48.39
60,292,1,04-01-2022,Paid,232.58
61,73,34,12-05-2022,Shipped,742.41
62,741,39,08-10-2019,Refunded,478.85
63,636,10,14-11-2022,Shipped,394.58
64,65,14,07-09-2022,Pending,762.17
65,416,26,19-06-2024,Pending,66.36
66,232,23,07-11-2023,Shipped,51.87
67,945,29,04-09-2020,Shipped,30.49
68,851,38,06-05-2023,Paid,579.63
69,426,28,30-06-2023,Failed,228.63
70,9,19,21-10-2023,Pending,703.46
71,159,50,25-12-2022,Refunded,890.72
72,858,47,09-08-2024,Pending,122.41
73,894,12,18-04-2024,Paid,29.59
74,917,31,09-12-2023,Shipped,663.83
75,462,46,07-03-2024,Failed,536.56
76,974,35,31-01-2023,Shipped,189.21
77,109,23,17-04-2021,Refunded,473.87
78,984,40,20-08-2023,Refunded,904.87
79,824,25,20-09-2021,Shipped,714.29
80,478,16,10-11-2019,Failed,94.28
81,408,7,01-01-2024,Shipped,670.07
82,374,26,09-07-2021,Failed,830.29
83,586,14,17-09-2021,Shipped,489.88
84,893,47,04-05-2022,Refunded,669.02
85,699,19,28-04-2022,Paid,970.68
86,536,25,12-02-2021,Failed,496.44
87,818,11,23-11-2021,Pending,221.65
88,624,36,02-02-2020,Refunded,397.29
89,276,12,30-08-2022,Pending,326.44
90,45,25,09-01-2023,Refunded,815.53
91,928,18,12-12-2020,Shipped,825.66
92,395,31,23-08-2021,Refunded,38.29
93,979,21,17-01-2024,Pending,795.4
94,899,48,23-03-2022,Paid,416.48
95,320,33,18-01-2020,Pending,145.16
96,452,24,24-09-2021,Refunded,25.43
97,235,17,09-09-2019,Failed,87.66
98,435,40,03-03-2023,Shipped,875.42
99,292,12,19-07-2021,Pending,575.48
100,215,37,12-10-2022,Failed,449.1
101,846,38,02-07-2020,Failed,446.9
102,819,23,12-10-2023,Failed,369.01
103,274,34,09-07-2022,Refunded,310.65
104,267,44,27-07-2021,Pending,590.98
105,749,25,24-02-2023,Refunded,75.39
106,667,5,05-09-2023,Paid,527.62
107,796,24,20-08-2020,Paid,362.75
108,754,3,29-08-2020,Refunded,212.36
109,281,40,06-12-2020,Failed,296.46
110,331,8,13-08-2020,Failed,167.11
111,838,4,01-07-2022,Pending,746.97
112,62,8,03-01-2024,Refunded,894.63
113,952,29,09-09-2021,Failed,17.78
114,435,1,13-12-2020,Failed,500.69
115,752,36,29-07-2024,Paid,366.89
116,845,25,29-05-2022,Shipped,166.62
117,116,45,02-01-2023,Failed,37.18
118,500,17,01-08-2020,Pending,259.76
119,160,18,30-07-2022,Failed,615.61
120,854,5,18-03-2023,Failed,786.42
121,264,47,05-08-2023,Pending,35.42
122,707,18,06-09-2022,Shipped,603.13
123,125,50,28-04-2021,Shipped,330.54
124,93,4,19-12-2023,Failed,832.89
125,463,37,25-01-2021,Pending,511.3
126,324,50,15-02-2023,Paid,75.38
127,333,1,08-05-2020,Pending,605.75
128,441,35,31-10-2020,Pending,117.63
129,592,2,17-05-2020,Refunded,378.8
130,637,34,11-06-2021,Pending,750.36
131,833,14,01-11-2019,Refunded,831.66
132,1000,41,08-02-2022,Paid,730.17
133,849,4,19-11-2020,Failed,886.52
134,281,20,20-09-2021,Paid,54.41
135,774,26,09-06-2023,Shipped,664.98
136,745,40,07-05-2020,Paid,709.37
137,835,3,17-12-2019,Refunded,247.25
138,755,23,26-05-2022,Failed,188.85
139,511,33,31-01-2020,Refunded,818.39
140,529,9,24-01-2020,Paid,335.96
141,57,31,23-09-2019,Paid,860.72
